,SiteId,SiteName,TWD67Lon,TWD67Lat
314,NUP810,員山子,121.8148,25.1082
315,01C570,龍壽社區,121.3798,25.0118
316,NUP490,復興國小,121.6578,25.019
317,NUP460,平溪旅遊,121.7738,25.0484
318,C0D660,新竹市東,120.9787,24.8004
319,C0Z100,東華,121.5417,23.8971
320,C0AH10,永和,121.4999,25.013
321,C0D650,湖口,121.0354,24.9066
322,C0C660,楊梅,121.1348,24.9141
323,C0V800,六龜,120.6255,22.9998
324,C0V790,萬山,120.68,22.9077
325,C0R600,舊泰武,120.6569,22.59
326,C1R610,西大武山,120.7241,22.6195
327,C1V780,多納林道,120.7299,22.8898
328,C0V450,鳳森,120.3845,22.5469
329,C0R160,新圍,120.5227,22.7413
330,C0R170,屏東,120.4836,22.6619
331,C0R240,來義,120.6171,22.5291
332,C0R260,春日,120.6203,22.3722
333,C0V360,內門,120.4583,22.9769
334,C0V400,阿公店,120.3474,22.8059
335,C0V350,溪埔,120.4386,22.7403
336,C0R140,瑪家,120.6789,22.6847
337,C0R130,阿禮,120.7356,22.7444
338,C0O860,大內,120.3528,23.1206
339,C0O840,王爺宮,120.3928,23.2238
340,C0V210,復興,120.7978,23.2242
341,C0V260,月眉,120.5318,22.9728
342,C0O830,北寮,120.4869,23.0816
343,C0O980,新市,120.2904,23.0636
344,C0O950,安南,120.1367,23.0783
345,C0V530,阿蓮,120.3195,22.8849
346,C0O960,崎頂,120.3612,22.9613
347,C0O990,媽廟,120.2854,22.9935
348,C0O970,虎頭埤,120.3398,23.0231
349,C0V440,鳳山,120.3481,22.6486
350,C0R190,赤山,120.6063,22.5941
351,C0R540,佳冬,120.5442,22.4212
352,C0R530,林邊,120.5021,22.4327
353,C0R550,新埤,120.5748,22.4698
354,C0R520,崁頂,120.499,22.5166
355,C0R560,新園,120.4535,22.5452
356,C0R500,竹田,120.5359,22.5866
357,C0R510,萬丹,120.4824,22.5896
358,C0R480,長治,120.5346,22.6948
359,C0R470,高樹,120.5927,22.8282
360,C0R490,九如,120.4825,22.7423
361,C0V720,林園,120.3866,22.5096
362,C0V710,苓雅,120.3226,22.6245
363,C0V700,三民,120.3033,22.6469
364,C0V690,鼓山,120.2675,22.6251
365,C0V670,楠梓,120.2779,22.7215
366,C0V680,仁武,120.3397,22.7029
367,C0V610,梓官,120.2593,22.7624
368,C0V650,彌陀,120.2383,22.7856
